Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-12-16,9.31,13.37,7.7,8.99,231477.0,-1.0,10.54
2014-12-17,9.14,9.78,6.04,6.43,268608.0,110634000.0,7.91
2014-12-18,6.31,7.77,5.78,6.85,252276.0,76649400.0,6.78
2014-12-19,6.76,6.95,4.43,6.84,443119.0,82478500.0,5.69
2014-12-20,6.85,11.93,6.82,11.61,306093.0,83986200.0,9.38
2014-12-21,11.42,11.75,6.97,9.67,541036.0,140370000.0,9.36
2014-12-22,9.67,15.92,8.47,14.46,1249460.0,118914000.0,12.2
2014-12-23,14.51,14.56,10.78,11.17,614737.0,178381000.0,12.67
2014-12-24,11.13,11.47,9.5,10.14,473197.0,136968000.0,10.48
2014-12-25,10.15,10.46,9.42,9.7,205498.0,124920000.0,9.94
2014-12-26,9.71,10.54,9.42,10.16,277706.0,119394000.0,9.98
2014-12-27,10.18,10.36,9.54,10.04,239092.0,125277000.0,9.95
2014-12-28,10.1,12.38,9.99,12.35,610875.0,124272000.0,11.19
2014-12-29,12.33,13.94,11.98,12.67,710106.0,151678000.0,12.96
2014-12-30,12.7,13.69,10.26,12.38,767213.0,156553000.0,11.97
2014-12-31,12.39,15.04,7.13,10.03,1706630.0,152741000.0,11.08
2015-01-01,9.97,10.21,7.76,7.78,427807.0,122937000.0,8.98
2015-01-02,7.76,8.24,5.61,5.75,778028.0,95598700.0,6.93
2015-01-03,5.69,5.77,2.33,3.13,823479.0,70153500.0,4.05
2015-01-04,3.13,4.95,2.96,4.31,695183.0,38536900.0,3.96
2015-01-05,4.34,4.72,3.98,4.2,294214.0,53541900.0,4.35
2015-01-06,4.21,4.36,4.02,4.02,211556.0,51859400.0,4.19
2015-01-07,4.02,4.07,3.36,3.67,228094.0,49613500.0,3.71
2015-01-08,3.67,4.22,3.62,4.04,234576.0,45312700.0,3.92
2015-01-09,4.03,4.03,3.65,3.91,199627.0,49663700.0,3.84
2015-01-10,3.91,3.91,3.26,3.39,120958.0,48208900.0,3.58
2015-01-11,3.36,3.41,2.81,2.96,88191.0,41437800.0,3.11
2015-01-12,2.95,6.15,2.94,3.72,733265.0,36446200.0,4.54
2015-01-13,3.72,4.53,3.71,3.81,422484.0,45951200.0,4.12
2015-01-14,3.78,3.8,2.94,3.07,229832.0,46647800.0,3.37
2015-01-15,3.05,3.9,3.05,3.52,200107.0,37623300.0,3.47
2015-01-16,3.51,4.12,3.51,3.9,185484.0,43383300.0,3.81
2015-01-17,3.89,4.14,3.7,3.84,131858.0,48060700.0,3.92
2015-01-18,3.86,3.87,1.84,3.02,553262.0,47628900.0,2.85
2015-01-19,3.04,3.07,2.6,2.67,133028.0,37591700.0,2.83
2015-01-20,2.66,2.78,2.14,2.5,262196.0,32825200.0,2.46
2015-01-21,2.55,2.61,2.03,2.33,229794.0,31545600.0,2.32
2015-01-22,2.33,2.47,2.18,2.46,145004.0,28804900.0,2.33
2015-01-23,2.46,2.55,2.35,2.42,72550.0,30435900.0,2.45
2015-01-24,2.43,2.46,2.04,2.21,169497.0,30032300.0,2.25
2015-01-25,2.22,2.74,1.96,2.56,290062.0,27476300.0,2.35
2015-01-26,2.5,2.92,2.5,2.57,143451.0,30930400.0,2.71
2015-01-27,2.56,2.57,2.28,2.29,113177.0,31612900.0,2.42
2015-01-28,2.29,2.29,1.96,2.03,114468.0,28390900.0,2.12
2015-01-29,2.02,2.03,1.86,1.91,86998.0,25172000.0,1.94
2015-01-30,1.91,2.01,1.85,1.87,73182.0,23806900.0,1.93
2015-01-31,1.87,1.92,1.76,1.78,65497.0,23432000.0,1.84
2015-02-01,1.78,1.89,1.58,1.58,84446.0,22344900.0,1.73
2015-02-02,1.55,1.55,0.933382,1.07,314221.0,19523800.0,1.24
2015-02-03,1.07,1.19,0.999839,1.19,96937.0,13550100.0,1.09
2015-02-04,1.19,1.19,1.01,1.03,79576.0,15162600.0,1.1
2015-02-05,1.03,1.24,0.831677,1.23,165444.0,13163800.0,1.04
2015-02-06,1.24,1.43,1.09,1.18,152528.0,15921900.0,1.26
2015-02-07,1.19,1.22,1.12,1.18,38306.0,15409500.0,1.17
2015-02-08,1.18,1.2,1.01,1.18,77919.0,15302600.0,1.1
2015-02-09,1.17,1.17,1.07,1.1,44443.0,15276100.0,1.12
2015-02-10,1.1,1.1,1.05,1.08,31469.0,14334800.0,1.08
2015-02-11,1.08,1.09,0.910468,0.974041,72377.0,14120400.0,1.0
2015-02-12,0.974143,1.02,0.923209,0.978729,40393.0,12811600.0,0.97
2015-02-13,0.97963,1.03,0.931415,0.963636,73117.0,12921900.0,0.98
2015-02-14,0.96405,0.990999,0.920707,0.970745,39187.0,12643100.0,0.96
2015-02-15,0.971419,1.02,0.773999,0.996153,42503.0,12776900.0,0.9
2015-02-16,0.997059,1.12,0.785562,0.793671,26087.0,13152200.0,0.95
2015-02-17,0.792242,0.965138,0.776129,0.86065,65617.0,10481100.0,0.87
2015-02-18,0.855091,0.882423,0.780524,0.809573,27157.0,11344400.0,0.83
2015-02-19,0.809818,0.841963,0.762735,0.802097,33963.0,10776700.0,0.8
2015-02-20,0.80198,0.80198,0.657482,0.680366,44866.0,10702400.0,0.73
2015-02-21,0.680314,0.759526,0.667212,0.714877,28880.0,9104290.0,0.71
