Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-01,0.221365,0.234221,0.071137,0.197822,1317090.0,-1,0.15
2017-10-02,0.197735,0.212427,0.101149,0.112224,206124.0,-1,0.16
2017-10-03,0.112228,0.167479,0.049026,0.121964,289396.0,-1,0.11
2017-10-04,0.129548,0.150814,0.075951,0.087726,460591.0,-1,0.11
2017-10-05,0.085695,0.088666,0.066884,0.069179,148044.0,-1,0.08
2017-10-06,0.071038,0.07118,0.054341,0.06187,141466.0,-1,0.06
2017-10-07,0.062983,0.070091,0.047461,0.049011,168451.0,-1,0.06
2017-10-08,0.048702,0.053395,0.022726,0.042749,220380.0,-1,0.04
2017-10-09,0.04276,0.049067,0.030776,0.044036,183485.0,-1,0.04
2017-10-10,0.046426,0.0468,0.015338,0.027867,282045.0,-1,0.03
2017-10-11,0.031005,0.044383,0.026412,0.035298,210404.0,-1,0.04
2017-10-12,0.035231,0.03992,0.034328,0.038022,205469.0,-1,0.04
2017-10-13,0.038139,0.041233,0.028814,0.031267,208726.0,-1,0.04
2017-10-14,0.032746,0.034845,0.026495,0.027919,184831.0,-1,0.03
2017-10-15,0.027969,0.029593,0.022946,0.024358,127944.0,-1,0.03
2017-10-16,0.024361,0.026071,0.022775,0.023113,136900.0,-1,0.02
2017-10-17,0.023174,0.023988,0.013311,0.014001,147767.0,-1,0.02
2017-10-18,0.013442,0.021923,0.012035,0.016139,127445.0,-1,0.02
2017-10-19,0.016259,0.018308,0.016053,0.017109,95968.0,-1,0.02
2017-10-20,0.017114,0.018303,0.016383,0.017271,142714.0,-1,0.02
2017-10-21,0.017235,0.018253,0.016911,0.017434,90595.0,-1,0.02
2017-10-22,0.01744,0.018914,0.016936,0.018745,105403.0,-1,0.02
2017-10-23,0.018715,0.019173,0.017053,0.017753,51647.0,-1,0.02
2017-10-24,0.017714,0.017714,0.016809,0.016934,25512.0,-1,0.02
2017-10-25,0.016886,0.01732,0.016267,0.01732,52202.0,-1,0.02
2017-10-26,0.017318,0.019232,0.0171,0.018186,69508.0,-1,0.02
2017-10-27,0.01819,0.037655,0.018146,0.034486,159151.0,-1,0.03
2017-10-28,0.034523,0.03489,0.028281,0.030572,159107.0,-1,0.03
2017-10-29,0.03053,0.031821,0.021686,0.023843,150480.0,-1,0.03
2017-10-30,0.024504,0.024563,0.019072,0.02066,83995.0,-1,0.02
2017-10-31,0.020589,0.025169,0.019926,0.021281,79018.0,-1,0.02
2017-11-01,0.021265,0.021401,0.020219,0.02097,51161.0,-1,0.02
2017-11-02,0.020993,0.021582,0.018019,0.019691,94623.0,-1,0.02
2017-11-03,0.019735,0.020802,0.016521,0.018251,73293.0,-1,0.02
2017-11-04,0.018204,0.019092,0.016536,0.018034,50718.0,-1,0.02
2017-11-05,0.017704,0.01811,0.017174,0.017483,48590.0,-1,0.02
2017-11-06,0.017374,0.017819,0.015542,0.015822,76403.0,-1,0.02
2017-11-07,0.015797,0.016513,0.0142,0.014848,74547.0,-1,0.02
2017-11-08,0.014588,0.015605,0.013884,0.015175,46932.0,-1,0.01
2017-11-09,0.015159,0.016101,0.014907,0.015282,116411.0,-1,0.02
2017-11-10,0.015327,0.016136,0.012903,0.013395,71457.0,-1,0.01
2017-11-11,0.013347,0.014404,0.012463,0.012732,57799.0,-1,0.01
2017-11-12,0.012722,0.012722,0.010631,0.011431,39462.0,-1,0.01
2017-11-13,0.011565,0.013576,0.011068,0.012578,57479.0,-1,0.01
2017-11-14,0.012605,0.013295,0.011667,0.011761,54002.0,-1,0.01
2017-11-15,0.011769,0.013285,0.010188,0.011551,88600.0,-1,0.01
2017-11-16,0.011612,0.011722,0.010567,0.011236,48783.0,-1,0.01
2017-11-17,0.011218,0.011291,0.008192,0.009326,52266.0,-1,0.01
2017-11-18,0.00929,0.010253,0.008493,0.009985,36450.0,-1,0.01
2017-11-19,0.009889,0.011761,0.009863,0.011587,44295.0,-1,0.01
2017-11-20,0.011582,0.015916,0.011582,0.013926,106052.0,-1,0.01
2017-11-21,0.013929,0.014581,0.013396,0.013588,42679.0,-1,0.01
2017-11-22,0.013621,0.014157,0.013293,0.013741,39714.0,-1,0.01
2017-11-23,0.013737,0.013993,0.013437,0.013558,22522.0,-1,0.01
