Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-24,61.71,74.44,61.71,69.3,23322800.0,-1,68.08
2017-11-25,69.35,104.84,68.77,94.22,45941900.0,-1,86.81
2017-11-26,94.2,94.25,65.9,66.12,20896400.0,-1,80.08
2017-11-27,66.3,70.6,63.82,65.89,22995100.0,-1,67.21
2017-11-28,65.67,65.7,50.29,54.47,22958800.0,-1,58.0
2017-11-29,54.27,57.18,43.43,45.14,15311200.0,-1,50.3
2017-11-30,45.87,54.29,42.92,47.93,10105800.0,-1,48.61
2017-12-01,47.23,52.23,45.58,51.81,8257780.0,-1,48.91
2017-12-02,51.71,51.96,45.07,47.24,6309450.0,-1,48.52
2017-12-03,47.11,51.14,44.79,47.37,6135070.0,-1,47.97
2017-12-04,47.49,48.2,43.3,46.77,6704090.0,-1,45.75
2017-12-05,46.84,47.88,42.78,42.99,6604280.0,-1,45.33
2017-12-06,42.86,43.42,32.76,38.16,11912000.0,-1,38.09
2017-12-07,37.77,37.77,34.35,35.98,7586480.0,-1,36.06
2017-12-08,36.29,38.26,32.15,35.56,8632940.0,-1,35.2
2017-12-09,35.23,35.76,31.47,33.57,6132550.0,-1,33.61
2017-12-10,33.6,48.55,29.92,39.75,14494700.0,-1,39.23
2017-12-11,39.8,43.55,36.57,37.84,8156630.0,-1,40.06
2017-12-12,38.05,38.05,32.2,33.44,8794210.0,-1,35.12
2017-12-13,33.41,34.28,30.55,31.87,7563820.0,-1,32.41
2017-12-14,31.62,37.69,31.54,37.69,11436000.0,-1,34.61
2017-12-15,37.73,48.4,35.9,44.53,18905000.0,-1,42.15
2017-12-16,43.84,46.96,41.23,43.38,12230100.0,-1,44.09
2017-12-17,43.13,46.33,43.13,45.19,7733990.0,-1,44.73
2017-12-18,45.34,46.88,43.13,44.75,9332280.0,-1,45.01
2017-12-19,44.74,47.06,43.42,46.46,9968920.0,-1,45.24
2017-12-20,46.37,70.4,46.06,67.88,28903400.0,-1,58.23
2017-12-21,68.18,69.18,48.29,48.75,15000200.0,-1,58.73
2017-12-22,48.93,58.25,35.18,43.42,10007700.0,-1,46.72
2017-12-23,42.74,45.8,39.06,39.06,8449980.0,-1,42.43
2017-12-24,39.72,40.56,34.25,40.4,4319190.0,-1,37.41
2017-12-25,40.65,52.88,40.01,51.44,7201650.0,-1,46.45
2017-12-26,51.25,76.45,43.94,64.67,21672200.0,-1,60.2
2017-12-27,64.89,67.07,39.96,40.15,14988700.0,-1,53.52
2017-12-28,44.48,44.48,29.77,31.34,10183000.0,-1,37.12
2017-12-29,31.47,40.13,31.33,34.8,9884250.0,-1,35.73
2017-12-30,34.68,34.72,26.62,31.13,7365910.0,-1,30.67
2017-12-31,31.02,31.37,26.62,30.76,7705000.0,-1,29.0
2018-01-01,30.76,30.76,27.01,27.01,8525740.0,-1,28.89
2018-01-02,26.9,28.15,25.54,26.67,12581100.0,-1,26.84
2018-01-03,26.59,27.42,23.62,23.84,406035000.0,-1,25.52
2018-01-04,23.82,26.83,22.43,24.65,779524000.0,-1,24.63
2018-01-05,24.91,26.15,21.85,24.66,12946300.0,-1,24.0
2018-01-06,24.79,27.96,23.03,27.96,12356900.0,-1,25.5
2018-01-07,28.17,32.68,27.05,27.05,16371800.0,-1,29.87
2018-01-08,26.79,30.66,24.8,27.47,15915800.0,-1,27.73
2018-01-09,27.31,27.76,22.84,23.51,12572900.0,-1,25.3
2018-01-10,23.61,23.61,16.91,17.33,12070100.0,-1,20.26
2018-01-11,17.44,18.22,14.82,16.82,10379800.0,-1,16.52
2018-01-12,16.95,18.74,16.61,17.55,9571350.0,-1,17.67
2018-01-13,17.52,45.36,16.85,33.82,187763000.0,-1,31.11
2018-01-14,34.82,34.82,20.68,22.37,115215000.0,-1,27.75
2018-01-15,22.41,24.05,18.62,18.79,47328300.0,-1,21.34
